Year_Built,Propnum,Address,Long,Lat
1860,2007415,"408 Dawson Street South, BALLARAT CENTRAL  VIC  3350",143.8511952,-37.57055593
1860,2035660,"28 Windermere Street, BALLARAT CENTRAL  VIC  3350",143.8453177,-37.56250705
1860,2007703,"4 Doveton Crescent, SOLDIERS HILL  VIC  3350",143.8580985,-37.55726047
1860,2007733,"303 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8559308,-37.55391342
1860,2003956,"206 Brougham Street, SOLDIERS HILL  VIC  3350",143.8563057,-37.54811757
1860,2033012,"82 Victoria Street, BALLARAT EAST  VIC  3350",143.872233,-37.56218925
1860,2034043,"408 Warrenheip Street, BUNINYONG  VIC  3357",143.884155,-37.64863992
1860,2005303,"205 Clarendon Street, SOLDIERS HILL  VIC  3350",143.8600759,-37.55386664
1860,2005704,"218 Clyde Street, SOLDIERS HILL  VIC  3350",143.8565001,-37.54690102
1862,2015156,"19 Holmes Street, BALLARAT CENTRAL  VIC  3350",143.8537838,-37.55395969
1862,2021744,"34-36 Main Road, BAKERY HILL  VIC  3350",143.8648543,-37.56367756
1862,2001637,"212 Ascot Street South, BALLARAT CENTRAL  VIC  3350",143.8430796,-37.56541843
1863,2037199,"380 Gillies Road, MOUNT ROWAN  VIC  3352",143.8342449,-37.48443402
1863,2039511,"2/11 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8601229,-37.56270611
1863,2030704,"11 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8601229,-37.56270611
1863,2020604,"5 Lydiard Street North, BALLARAT CENTRAL  VIC  3350",143.8574113,-37.56144168
1864,2004100,"224 Scotchmans Lead Road, SCOTCHMANS LEAD  VIC  3352",143.8523861,-37.66164526
1865,2001854,"13 Baird Street, BALLARAT CENTRAL  VIC  3350",143.8515236,-37.54886844
1865,2001855,"15 Baird Street, BALLARAT CENTRAL  VIC  3350",143.8515512,-37.54872641
1865,2001856,"17 Baird Street, BALLARAT CENTRAL  VIC  3350",143.8515822,-37.54855898
1865,2001862,"16A Baird Street, BALLARAT CENTRAL  VIC  3350",143.8522011,-37.54860926
1865,2001863,"16 Baird Street, BALLARAT CENTRAL  VIC  3350",143.8522349,-37.54870875
1865,2001243,"510 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8589208,-37.55004177
1865,2001276,"208 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8577477,-37.55635563
1865,2001448,"3 Ascot Street North, BALLARAT CENTRAL  VIC  3350",143.8441349,-37.55968635
1865,2001462,"22 Ascot Street North, BALLARAT CENTRAL  VIC  3350",143.8452048,-37.55889646
1865,2001463,"20 Ascot Street North, BALLARAT CENTRAL  VIC  3350",143.8451881,-37.55898719
1865,2001221,"616 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8594305,-37.54729898
1865,2001222,"614 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8594043,-37.54743848
1865,2001224,"610 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8593731,-37.54760541
1865,2001230,"530 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.858977,-37.54895924
1865,2001231,"528 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8589521,-37.54909363
1865,2001242,"512 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8589375,-37.54995166
1865,2026052,"2 Pisgah Street, BALLARAT CENTRAL  VIC  3350",143.8500899,-37.54617824
1865,2001092,"323 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.857233,-37.55417145
1865,2001121,"605 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8583504,-37.54812885
1865,2001126,"615 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8584887,-37.54738087
1865,2001141,"901 Armstrong Street North, BALLARAT NORTH  VIC  3350",143.8592952,-37.54341821
1865,2001216,"804 Armstrong Street North, SOLDIERS HILL  VIC  3350",143.8597575,-37.54505961
1865,2021893,"524 Mair Street, BALLARAT CENTRAL  VIC  3350",143.8524764,-37.55877798
